USPS,NAME,LAT,LONG
CO,adams,39.874325,-104.331872
CO,alamosa,37.568442,-105.788041
CO,arapahoe,39.644554,-104.331706
CO,archuleta,37.202395,-107.050863
CO,baca,37.306693,-102.537758
CO,bent,37.931891,-103.077584
CO,boulder,40.09497,-105.397691
CO,broomfield,39.953302,-105.052038
CO,chaffee,38.738224,-106.316685
CO,cheyenne,38.835386,-102.604585
CO,clear creek,39.689403,-105.670783
CO,conejos,37.213406,-106.176447
CO,costilla,37.277547,-105.42894
CO,crowley,38.30618,-103.772736
CO,custer,38.101994,-105.373515
CO,delta,38.861756,-107.864757
CO,denver,39.76185,-104.881105
CO,dolores,37.747602,-108.530383
CO,douglas,39.325414,-104.925987
CO,eagle,39.626992,-106.695169
CO,elbert,39.310582,-104.117729
CO,el paso,38.827383,-104.527472
CO,fremont,38.45517,-105.424958
CO,garfield,39.599352,-107.90978
CO,gilpin,39.861156,-105.528878
CO,grand,40.123205,-106.095935
CO,gunnison,38.67264,-107.066506
CO,hinsdale,37.821165,-107.338261
CO,huerfano,37.687815,-104.959928
CO,jackson,40.663432,-106.329248
CO,jefferson,39.579511,-105.245462
CO,kiowa,38.387663,-102.756849
CO,kit,39.30534,-102.603023
CO,lake,39.205341,-106.350079
CO,la plata,37.287367,-107.839718
CO,larimer,40.658093,-105.486764
CO,las animas,37.318831,-104.04411
CO,lincoln,38.99374,-103.507555
CO,logan,40.728091,-103.090464
CO,mesa,39.019492,-108.461837
CO,mineral,37.651483,-106.932303
CO,moffat,40.616358,-108.211099
CO,montezuma,37.338025,-108.595786
CO,montrose,38.407507,-108.266282
CO,morgan,40.263167,-103.812285
CO,otero,37.88417,-103.72126
CO,ouray,38.1506,-107.767133
CO,park,39.118914,-105.717648
CO,phillips,40.594712,-102.345105
CO,pitkin,39.217332,-106.915783
CO,prowers,37.958181,-102.392161
CO,pueblo,38.170658,-104.489892
CO,rio blanco,39.972622,-108.200716
CO,rio grande,37.485853,-106.453128
CO,routt,40.483664,-106.987702
CO,saguache,38.031651,-106.234666
CO,san juan,37.781074,-107.670257
CO,san miguel,38.009374,-108.427326
CO,sedgwick,40.871568,-102.355358
CO,summit,39.621023,-106.137555
CO,teller,38.871994,-105.182552
CO,washington,39.96579,-103.209744
CO,weld,40.553696,-104.394221
CO,yuma,40.000631,-102.422649
ID,ada,43.451477,-116.244376
ID,adams,44.877004,-116.461624
ID,bannock,42.692921,-112.228982
ID,bear lake,42.285892,-111.327517
ID,benewah,47.218451,-116.633541
ID,bingham,43.216357,-112.399206
ID,blaine,43.394192,-113.955371
ID,boise,43.987275,-115.71511
ID,bonner,48.324629,-116.62743
ID,bonneville,43.395171,-111.621878
ID,boundary,48.773133,-116.524673
ID,butte,43.685101,-113.177631
ID,camas,43.463396,-114.804427
ID,canyon,43.623051,-116.708527
ID,caribou,42.786072,-111.544273
ID,cassia,42.282313,-113.626328
ID,clark,44.290218,-112.354613
ID,clearwater,46.67257,-115.6535
ID,custer,44.273351,-114.252267
ID,elmore,43.394698,-115.471205
ID,franklin,42.173609,-111.822965
ID,fremont,44.218091,-111.484429
ID,gem,44.061473,-116.398784
ID,gooding,42.973185,-114.82142
ID,idaho,45.849644,-115.467337
ID,jefferson,43.796965,-112.318588
ID,jerome,42.691395,-114.262086
ID,kootenai,47.677113,-116.694918
ID,latah,46.81892,-116.730974
ID,lemhi,44.928506,-113.887042
ID,lewis,46.236328,-116.42376
ID,lincoln,42.986181,-114.153899
ID,madison,43.788614,-111.656993
ID,minidoka,42.857211,-113.63984
ID,nez perce,46.333791,-116.760909
ID,oneida,42.183895,-112.520449
ID,owyhee,42.572851,-116.18969
ID,payette,44.00243,-116.750238
ID,power,42.694126,-112.844407
ID,shoshone,47.347694,-115.885092
ID,teton,43.760994,-111.211765
ID,twin falls,42.352309,-114.665639
ID,valley,44.771488,-115.637953
ID,washington,44.448223,-116.797792
MT,beaverhead,45.133863,-112.892869
MT,big horn,45.407869,-107.518163
MT,blaine,48.428282,-108.967648
MT,broadwater,46.329849,-111.497873
MT,carbon,45.224475,-109.028551
MT,carter,45.516825,-104.515324
MT,cascade,47.316443,-111.350571
MT,chouteau,47.886837,-110.436189
MT,custer,46.261481,-105.550508
MT,daniels,48.794429,-105.541739
MT,dawson,47.272425,-104.901027
MT,deer lodge,46.094612,-113.141624
MT,fallon,46.318184,-104.405718
MT,fergus,47.223641,-109.223714
MT,flathead,48.314575,-114.054533
MT,gallatin,45.518054,-111.163921
MT,garfield,47.280033,-106.986706
MT,glacier,48.705671,-112.990502
MT,golden valley,46.380624,-109.174586
MT,granite,46.395955,-113.427356
MT,hill,48.631959,-110.106321
MT,jefferson,46.124246,-112.059424
MT,judith basin,47.032558,-110.30532
MT,lake,47.642901,-114.083687
MT,lews and clark,47.122034,-112.382924
MT,liberty,48.559654,-111.036924
MT,lincoln,48.552385,-115.463185
MT,mccone,47.629628,-105.757222
MT,madison,45.325278,-111.913781
MT,meagher,46.5857,-110.92174
MT,mineral,47.154909,-115.064849
MT,missoula,47.027263,-113.892681
MT,musselshell,46.505281,-108.439763
MT,park,45.421905,-110.532798
MT,petroleum,47.141917,-108.226575
MT,phillips,48.250143,-107.928897
MT,pondera,48.230312,-112.219928
MT,powder river,45.408926,-105.555344
MT,powell,46.844225,-112.9311
MT,prairie,46.812381,-105.503991
MT,ravalli,46.079298,-114.119065
MT,richland,47.785513,-104.563387
MT,roosevelt,48.282747,-104.99517
MT,rosebud,46.17336,-106.66641
MT,sanders,47.7565,-115.180295
MT,sheridan,48.705523,-104.533913
MT,silver bow,45.895959,-112.660222
MT,stillwater,45.658903,-109.382098
MT,sweet grass,45.81306,-109.941312
MT,teton,47.819035,-112.281725
MT,toole,48.645052,-111.733493
MT,treasure,46.209558,-107.280369
MT,valley,48.34985,-106.670424
MT,wheatland,46.497047,-109.857147
MT,wibaux,46.962966,-104.274518
MT,yellowstone,45.936987,-108.276656
WY,albany,41.665514,-105.721883
WY,bighorn,44.525117,-107.994848
WY,campbell,44.191999,-105.517014
WY,carbon,41.70359,-106.933153
WY,converse,42.974898,-105.505917
WY,crook,44.589266,-104.567298
WY,fremont,43.054831,-108.608935
WY,goshen,42.08958,-104.353482
WY,hot springs,43.720209,-108.435076
WY,johnson,44.044048,-106.588541
WY,laramie,41.29283,-104.660395
WY,lincoln,42.229993,-110.682961
WY,natrona,42.973602,-106.76507
WY,niobrara,43.062159,-104.468373
WY,park,44.492387,-109.593597
WY,platte,42.131593,-104.953963
WY,sheridan,44.781369,-106.881211
WY,sublette,42.767928,-109.91617
WY,sweetwater,41.660328,-108.875677
WY,teton,44.048663,-110.426071
WY,uinta,41.284726,-110.558947
WY,washakie,43.878831,-107.669052
WY,weston,43.846213,-104.57002